Date;Time (UTC);ID;Type;Parameters;Comments;Operator;Miscellaneous
17.08.2023;11:00:00;36;Maintenance;"Weather station;multiparameter;Campbell;WS-B";Cleaning;Matteo Gios;
12.09.2023;13:00:00;37;Maintenance;"Weather station;multiparameter;Campbell;WS-B";cleaning;Matteo Gios;
17.10.2023;13:00:00;38;Maintenance;"Weather station;multiparameter;Campbell;WS-B";cleaning;Matteo Gios;
21.11.2023;13:30:00;39;Maintenance;"Weather station;multiparameter;Campbell;WS-B";cleaning;Matteo Gios;
21.11.2023;13:30:00;39;Maintenance;"tipping bucket raingauge;rainfall;ARG314;222319(WS-A)";cleaning;Matteo Gios;
16.01.2024;15:00:00;40;Maintenance;"Weather station;multiparameter;Campbell;WS-B";cleaning;Guillaume Cunillera;
16.01.2024;15:00:00;40;Maintenance;"tipping bucket raingauge;rainfall;ARG314;222319(WS-A)";big ceaning of the filter, feather, dust ,…;Guillaume Cunillera;
14.02.2024;15:00:00;41;Maintenance;"Weather station;multiparameter;Campbell;WS-B";cleaning;Matteo Gios;
14.02.2024;15:00:00;41;Maintenance;"tipping bucket raingauge;rainfall;ARG314;222319(WS-A)";cleaning;Matteo Gios;
06.03.2024;10:00:00;42;Maintenance;"Weather station;multiparameter;Campbell;WS-B";cleaning;Matteo Gios;
06.03.2024;10:00:00;42;Maintenance;"tipping bucket raingauge;rainfall;ARG314;222319(WS-A)";cleaning;Matteo Gios;
04.04.2024;12:00:00;43;Calibration Factory;"Pyranometer;Solar radiation;CS300 (SP 110):85941(WS A)";calib files in the 20240516 folder : 2024 WS-A.zip;Campbell Scientific;
29.04.2024;12:00:00;44;Calibration Factory;"Temperature and Relative Humidity;Temperature;HC2S3-L;0020073077(WS-A)";calib files in the 20240516 folder : 2024 WS-A.zip;Campbell Scientific;
29.04.2024;12:00:00;45;Calibration Factory;"Temperature and Relative Humidity;Humidity;HC2S3-L;0020073077(WS-A)";calib files in the 20240516 folder : 2024 WS-A.zip;Campbell Scientific;
01.05.2024;12:00:00;46;Calibration Factory;"Datalogger;N/A;CR1000X;25713(WS-A)";calib files in the 20240516 folder : 2024 WS-A.zip;Campbell Scientific;
15.05.2024;8:00:00;47;Issue;;Weather station off for the instrument swap;Guillaume Cunillera;
15.05.2024;9:00:00;47;Recovery/removal;"Temperature and Relative Humidity;Temperature;EE181-M1A1;22181600193879(WS-B)";swap instruments;Guillaume Cunillera;
15.05.2024;9:00:00;47;Recovery/removal;"Temperature and Relative Humidity;Humidity;EE181-M1A1;22181600193879(WS-B)";swap instruments;Guillaume Cunillera;
15.05.2024;9:00:00;47;Recovery/removal;"wind monitor;wind speed;05103;WM193493(WS-B)";swap instruments;Guillaume Cunillera;
15.05.2024;9:00:00;47;Recovery/removal;"wind monitor;wind direction;05103;WM193493(WS-B)";swap instruments;Guillaume Cunillera;
15.05.2024;9:00:00;47;Recovery/removal;"tipping bucket raingauge;rainfall;ARG314;222319(WS-B)";swap instruments;Guillaume Cunillera;
15.05.2024;9:00:00;47;Recovery/removal;"Datalogger;N/A;CR1000X;40347(WS-B)";swap instruments;Guillaume Cunillera;
15.05.2024;9:00:00;47;Out of order;"Pyranometer;Solar radiation;CS300 (SP-110);81111(WS-B)";swap instruments;Guillaume Cunillera;
16.05.2024;12:00:00;47;Deployment/reinstalled;"Temperature and Relative Humidity;Temperature;HC2S3-L;0020073077(WS-A)";swap instruments;Guillaume Cunillera;
16.05.2024;12:00:00;47;Deployment/reinstalled;"Temperature and Relative Humidity;Humidity;HC2S3-L;0020073077(WS-A)";swap instruments;Guillaume Cunillera;
16.05.2024;12:00:00;47;Deployment/reinstalled;"wind monitor;wind speed;05103;WM150350(WS-A)";swap instruments;Guillaume Cunillera;
16.05.2024;12:00:00;47;Deployment/reinstalled;"wind monitor;wind direction;05103;WM150350(WS-A)";swap instruments;Guillaume Cunillera;
16.05.2024;12:00:00;47;Deployment/reinstalled;"tipping bucket raingauge;rainfall;ARG314;222404(WS-A)";swap instruments;Guillaume Cunillera;
16.05.2024;12:00:00;47;Deployment/reinstalled;"Datalogger;N/A;CR1000X;25713(WS-A)";swap instruments;Guillaume Cunillera;
16.05.2024;12:00:00;47;Installation;"Pyranometer;Solar radiation;CS300 (SP 110):85941(WS A)";swap instruments. New pyranometer;Guillaume Cunillera;
16.05.2024;14:00:00;47;Repair;"Weather station;multiparameter;Campbell;WS-A";Weather station back ON after instrument swap;Guillaume Cunillera;
16.05.2024;9:10:00;48;Issue;"Pyranometer;Solar radiation;CS300 (SP 110):85941(WS A)";W/m-2 coefficient written 2 times in the code. Values are 5 times too high.;Guillaume Cunillera;
